"Time (ms)","Recording (a.u.)"
1.610477670E1,-1.474797539E-2
1.612561082E1,-1.560255513E-2
1.614644494E1,-1.644571498E-2
1.616727906E1,-1.723476499E-2
1.618811319E1,-1.796762645E-2
1.620894731E1,-1.869441196E-2
1.622978143E1,-1.936531253E-2
1.625061555E1,-1.990990341E-2
1.627144968E1,-2.034915239E-2
1.629228380E1,-2.073311061E-2
1.631311792E1,-2.102165297E-2
1.633395204E1,-2.115750685E-2
1.635478617E1,-2.118907869E-2
1.637562029E1,-2.114152536E-2
1.639645441E1,-2.094347030E-2
1.641728853E1,-2.060955390E-2
1.643812266E1,-2.020984329E-2
1.645895678E1,-1.967355981E-2
1.647979090E1,-1.896968298E-2
1.650062502E1,-1.815620437E-2
1.652145915E1,-1.722911187E-2
