"Time (ms)","Recording (a.u.)"
5.896056669E0,2.221360803E-2
5.916890791E0,2.195090801E-2
5.937724914E0,2.168777213E-2
5.958559036E0,2.139731869E-2
5.979393159E0,2.115990594E-2
6.000227281E0,2.095177770E-2
6.021061404E0,2.063430101E-2
6.041895526E0,2.031393722E-2
6.062729649E0,1.983848028E-2
6.083563771E0,1.931678690E-2
6.104397894E0,1.913018338E-2
6.125232016E0,1.919523068E-2
6.146066139E0,1.906139404E-2
6.166900261E0,1.837440766E-2
6.187734384E0,1.744892076E-2
6.208568506E0,1.673801243E-2
6.229402629E0,1.639068127E-2
6.250236751E0,1.606089436E-2
6.271070874E0,1.554115489E-2
6.291904996E0,1.520722732E-2
6.312739119E0,1.492512692E-2
6.333573241E0,1.445027255E-2
6.354407364E0,1.397993602E-2
6.375241486E0,1.344827935E-2
6.396075609E0,1.274338737E-2
6.416909731E0,1.205230132E-2
6.437743854E0,1.143651456E-2
6.458577976E0,1.081165206E-2
6.479412099E0,1.021597907E-2
6.500246221E0,9.609782137E-3
6.521080344E0,8.895853534E-3
6.541914466E0,8.242557757E-3
6.562748589E0,7.686905563E-3
6.583582711E0,7.051065098E-3
6.604416834E0,6.438842043E-3
6.625250956E0,5.891169421E-3
6.646085079E0,5.220349878E-3
6.666919201E0,4.481255077E-3
6.687753324E0,3.818738507E-3
6.708587446E0,3.209745744E-3
6.729421569E0,2.582813147E-3
6.750255692E0,1.958539709E-3
6.771089814E0,1.325853169E-3
6.791923937E0,5.695890868E-4
6.812758059E0,-2.094570518E-4
6.833592182E0,-8.803947130E-4
6.854426304E0,-1.557082171E-3
6.875260427E0,-2.259336878E-3
6.896094549E0,-2.958627651E-3
6.916928672E0,-3.677689238E-3
6.937762794E0,-4.458385054E-3
6.958596917E0,-5.263882224E-3
6.979431039E0,-5.925540812E-3
7.000265162E0,-6.495887879E-3
7.021099284E0,-7.114363369E-3
7.041933407E0,-7.726491895E-3
7.062767529E0,-8.314346895E-3
7.083601652E0,-8.929727599E-3
7.104435774E0,-9.507637471E-3
7.125269897E0,-1.010838337E-2
7.146104019E0,-1.083921082E-2
7.166938142E0,-1.153392531E-2
7.187772264E0,-1.209347881E-2
7.208606387E0,-1.272934303E-2
7.229440509E0,-1.337644272E-2
7.250274632E0,-1.387154311E-2
7.271108754E0,-1.437014807E-2
7.291942877E0,-1.489320211E-2
7.312776999E0,-1.541628968E-2
7.333611122E0,-1.590957306E-2
7.354445244E0,-1.637274772E-2
7.375279367E0,-1.687891036E-2
7.396113489E0,-1.735156961E-2
7.416947612E0,-1.779658720E-2
7.437781734E0,-1.822735555E-2
7.458615857E0,-1.861713454E-2
7.479449979E0,-1.897037774E-2
7.500284102E0,-1.925919019E-2
7.521118224E0,-1.958695985E-2
7.541952347E0,-1.998595893E-2
7.562786469E0,-2.038710751E-2
7.583620592E0,-2.077513188E-2
7.604454714E0,-2.113010734E-2
7.625288837E0,-2.146545425E-2
7.646122959E0,-2.170882747E-2
7.666957082E0,-2.185490727E-2
7.687791204E0,-2.209109440E-2
7.708625327E0,-2.242685296E-2
7.729459449E0,-2.266419306E-2
7.750293572E0,-2.276999131E-2
7.771127694E0,-2.290039696E-2
7.791961817E0,-2.302991785E-2
7.812795939E0,-2.314678766E-2
7.833630062E0,-2.326299623E-2
7.854464184E0,-2.328217588E-2
7.875298307E0,-2.327425033E-2
7.896132429E0,-2.336651087E-2
7.916966552E0,-2.346350253E-2
7.937800674E0,-2.336687408E-2
7.958634797E0,-2.321680449E-2
7.979468919E0,-2.317785844E-2
8.000303042E0,-2.312882990E-2
8.021137164E0,-2.301129699E-2
8.041971287E0,-2.284825779E-2
8.062805409E0,-2.272630110E-2
8.083639532E0,-2.264258452E-2
8.104473654E0,-2.240701020E-2
8.125307777E0,-2.207919024E-2
8.146141899E0,-2.179582044E-2
8.166976022E0,-2.156683803E-2
8.187810144E0,-2.134673670E-2
8.208644267E0,-2.099587023E-2
8.229478389E0,-2.055183612E-2
8.250312512E0,-2.018580586E-2
8.271146634E0,-1.991422474E-2
8.291980757E0,-1.961582527E-2
8.312814879E0,-1.931063831E-2
8.333649002E0,-1.892795414E-2
8.354483124E0,-1.833927259E-2
8.375317247E0,-1.796423830E-2
8.396151369E0,-1.794126630E-2
8.416985492E0,-1.765668951E-2
8.437819614E0,-1.693175547E-2
8.458653737E0,-1.616329327E-2
8.479487859E0,-1.565566659E-2
8.500321982E0,-1.523512043E-2
8.521156104E0,-1.473577227E-2
8.541990227E0,-1.427679136E-2
8.562824349E0,-1.383627206E-2
8.583658472E0,-1.344181132E-2
8.604492594E0,-1.302582026E-2
8.625326717E0,-1.252083667E-2
8.646160839E0,-1.195499487E-2
8.666994962E0,-1.133999974E-2
8.687829084E0,-1.080668997E-2
8.708663207E0,-1.028596051E-2
8.729497329E0,-9.677507915E-3
8.750331452E0,-9.006747976E-3
8.771165574E0,-8.380053565E-3
8.791999697E0,-7.859005593E-3
8.812833819E0,-7.316608913E-3
8.833667942E0,-6.664015818E-3
8.854502064E0,-5.993812345E-3
8.875336187E0,-5.501828156E-3
8.896170309E0,-5.020046607E-3
8.917004432E0,-4.329199903E-3
8.937838554E0,-3.558476456E-3
8.958672677E0,-2.987113316E-3
8.979506799E0,-2.597167855E-3
9.000340922E0,-1.973567065E-3
9.021175045E0,-1.255347743E-3
9.042009167E0,-6.997181918E-4
9.062843290E0,-1.534499461E-4
9.083677412E0,4.969363799E-4
9.104511535E0,1.227274770E-3
9.125345657E0,1.927061123E-3
9.146179780E0,2.534942934E-3
9.167013902E0,3.063258249E-3
9.187848025E0,3.698083339E-3
9.208682147E0,4.461934790E-3
9.229516270E0,5.132687278E-3
9.250350392E0,5.663674790E-3
9.271184515E0,6.156304851E-3
9.292018637E0,6.727414206E-3
9.312852760E0,7.321256213E-3
9.333686882E0,7.908726111E-3
9.354521005E0,8.502705954E-3
9.375355127E0,9.077169001E-3
9.396189250E0,9.723829105E-3
9.417023372E0,1.032516174E-2
9.437857495E0,1.085374597E-2
9.458691617E0,1.142034587E-2
9.479525740E0,1.196377724E-2
9.500359862E0,1.251442824E-2
9.521193985E0,1.303319633E-2
9.542028107E0,1.349570602E-2
9.562862230E0,1.397525333E-2
9.583696352E0,1.450284012E-2
9.604530475E0,1.501469128E-2
9.625364597E0,1.549219154E-2
9.646198720E0,1.593590714E-2
9.667032842E0,1.636999473E-2
9.687866965E0,1.688342728E-2
9.708701087E0,1.740443148E-2
9.729535210E0,1.783079654E-2
9.750369332E0,1.813175716E-2
9.771203455E0,1.846334897E-2
9.792037577E0,1.887971535E-2
9.812871700E0,1.926403120E-2
9.833705822E0,1.964040473E-2
9.854539945E0,1.999543607E-2
9.875374067E0,2.032076567E-2
9.896208190E0,2.061843127E-2
9.917042312E0,2.091988549E-2
9.937876435E0,2.120871097E-2
9.958710557E0,2.147033066E-2
9.979544680E0,2.171281353E-2
1.000037880E1,2.193219587E-2
1.002121292E1,2.220204100E-2
1.004204705E1,2.243530005E-2
1.006288117E1,2.260269225E-2
1.008371529E1,2.280344069E-2
1.010454941E1,2.295953035E-2
1.012538354E1,2.304708771E-2
