element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	1	"84.1877"	"0.0009"	"84.1871"	"0.0009"	"a*"	""	""		"0.000"	"118783.1"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).12f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"84.1877"	"0.0009"	"84.1879"	"0.0009"	"a*"	""	""		"0.000"	"118781.9"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).12f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.1922"	"0.0009"	"84.1922"	"0.0009"	"a"	""	""		"0.000"	"118775.8"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).15p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.3238"	"0.0009"	"84.3229"	"0.0009"	"a*"	""	""		"0.000"	"118591.7"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).11f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"84.3238"	"0.0009"	"84.3241"	"0.0009"	"a*"	""	""		"0.000"	"118590.1"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).11f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.3339"	"0.0009"	"84.3339"	"0.0009"	"a"	""	""		"0.000"	"118576.3"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).14p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.5059"	"0.0009"	"84.5048"	"0.0009"	"a*"	""	""		"0.000"	"118336.5"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).10f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"84.5059"	"0.0009"	"84.5063"	"0.0009"	"a*"	""	""		"0.000"	"118334.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).10f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.5225"	"0.0009"	"84.5225"	"0.0009"	"a"	""	""		"0.000"	"118311.7"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).13p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.7692"	"0.0009"	"84.7676"	"0.0009"	"a*"	""	""		"0.000"	"117969.6"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).9f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"84.7692"	"0.0009"	"84.7698"	"0.0009"	"a*"	""	""		"0.000"	"117966.6"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).9f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.7962"	"0.0009"	"84.7962"	"0.0009"	"a"	""	""		"0.000"	"117929.8"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).12p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"85.1527"	"0.0009"	"85.1504"	"0.0009"	"a*"	""	""		"0.000"	"117439.3"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).8f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"85.1527"	"0.0009"	"85.1536"	"0.0009"	"a*"	""	""		"0.000"	"117434.9"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).8f"	"2[3/2]*"	"1"		""	"L400"	
