element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Na	11	""	""	"3.3818298"	"0.0000010"	""	"4.19e+10"	"1.44e-02"		"(9971713.8)"	"(12928692.883)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.3820577"	"0.0000010"	""	"4.20e+10"	"7.20e-03"		"(9971713.8)"	"(12928493.652)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.38765662"	"0.00000010"	""	"7.54e+10"	"1.95e-02"		"(9976865.74)"	"(12928758.783)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T7771"	"L3620"	
Na	11	""	""	"3.38773265"	"0.00000010"	""	"1.25e+10"	"2.15e-03"		"(9976865.74)"	"(12928692.533)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.38795103"	"0.00000010"	""	"7.29e+09"	"6.27e-04"		"(9976865.74)"	"(12928502.263)"	"2p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.5780338"	"0.0000010"	""	"1.16e+11"	"4.45e-02"		"(9971484.9)"	"(12766315.956)"	"2p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.5783261"	"0.0000010"	""	"7.25e+10"	"2.78e-02"		"(9971713.8)"	"(12766316.554)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.5784549"	"0.0000010"	""	"6.32e+09"	"1.21e-03"		"(9971484.9)"	"(12765987.11)"	"2p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.5787670"	"0.0000010"	""	"7.27e+10"	"1.40e-02"		"(9971713.8)"	"(12765972.25)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.58478870"	"0.00000010"	""	"1.38e+11"	"3.99e-02"		"(9976865.74)"	"(12766430.438)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	"L3620"	
Na	11	""	""	"3.58493582"	"0.00000010"	""	"2.30e+10"	"4.43e-03"		"(9976865.74)"	"(12766315.956)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.58535850"	"0.00000010"	""	"1.28e+10"	"1.23e-03"		"(9976865.74)"	"(12765987.11)"	"2p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	10	""	""	"3.60815"	"0.00003"	""	"6.46e+09"	"1.26e-03"	A	"(8935368.6)"	"(11706875)"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.60815"	"0.00003"	""	"6.44e+09"	"4.19e-04"	A	"(8935368.6)"	"(11706875)"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"3.60815"	"0.00003"	""	"6.46e+09"	"2.10e-03"	A	"(8935368.6)"	"(11706875)"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"3.64216"	"0.00003"	""	"8.84e+09"	"2.93e-03"	A	"(8935368.6)"	"(11680991)"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"2"		"T5231c64,LS"	""	
